,solver,reaction,success,failure,total
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,0,1,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,0,1,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,0,1,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,0,1,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,0,1,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,0,1,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
0,coverages,CO_oxidation,1,0,1
0,numbers_free_xstar,CO_oxidation,1,0,1
